IVIRSE | DEBUG flwr 2023-07-17 11:20:49,619 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:20:49,621 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:20:49,622 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:21:23,125 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:21:23,140 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:21:28,395 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:21:28,396 | server.py:147 | FL finished in 80.6900284
IVIRSE | INFO flwr 2023-07-17 11:21:28,398 | app.py:218 | app_fit: losses_distributed [(1, 632.9314575195312), (2, 533.0735473632812)]
IVIRSE | INFO flwr 2023-07-17 11:21:28,401 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 11:21:28,402 | app.py:220 | app_fit: metrics_distributed {}
IVIRSE | INFO flwr 2023-07-17 11:21:28,403 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 11:21:28,405 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 11:25:03,119 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 11:25:03,974 | app.py:168 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 11:25:03,975 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 11:25:03,976 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:25:21,715 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:25:21,716 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 11:25:21,716 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 11:25:24,038 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:25:57,890 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:25:57,911 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:25:57,912 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:26:03,290 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:26:03,292 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:26:03,293 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:26:37,662 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:26:37,677 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:26:44,223 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:26:44,224 | server.py:147 | FL finished in 82.5071563
IVIRSE | INFO flwr 2023-07-17 11:26:44,225 | app.py:218 | app_fit: losses_distributed [(1, 613.8895874023438), (2, 503.2297058105469)]
IVIRSE | INFO flwr 2023-07-17 11:26:44,226 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 11:26:44,228 | app.py:220 | app_fit: metrics_distributed {}
IVIRSE | INFO flwr 2023-07-17 11:26:44,229 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 11:26:44,232 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 11:39:50,883 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 11:39:51,795 | app.py:168 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 11:39:51,796 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 11:39:51,798 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:40:01,882 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:40:01,883 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 11:40:01,883 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 11:40:06,223 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:40:41,084 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:40:41,105 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:40:41,106 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:40:46,249 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:40:46,251 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:40:46,253 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:41:20,945 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:41:20,956 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:41:27,346 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:41:27,347 | server.py:147 | FL finished in 85.46379400000001
IVIRSE | INFO flwr 2023-07-17 11:41:27,348 | app.py:218 | app_fit: losses_distributed [(1, 673.2825927734375), (2, 553.1246337890625)]
IVIRSE | INFO flwr 2023-07-17 11:41:27,349 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 11:41:27,350 | app.py:220 | app_fit: metrics_distributed {}
IVIRSE | INFO flwr 2023-07-17 11:41:27,352 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 11:41:27,354 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 11:41:37,816 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 11:41:38,722 | app.py:168 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 11:41:38,723 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 11:41:38,723 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:41:47,419 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:41:47,420 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 11:41:47,421 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 11:41:50,086 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:42:24,815 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:42:24,839 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:42:24,842 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:42:30,165 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:42:30,166 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:42:30,166 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:43:05,352 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:43:05,366 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:43:10,600 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:43:10,601 | server.py:147 | FL finished in 83.1800936
IVIRSE | INFO flwr 2023-07-17 11:43:10,602 | app.py:218 | app_fit: losses_distributed [(1, 618.2008056640625), (2, 505.5145263671875)]
IVIRSE | INFO flwr 2023-07-17 11:43:10,604 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 11:43:10,605 | app.py:220 | app_fit: metrics_distributed {}
